Time,Treatments,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6
10.666667,sp_1_2_3_6,0.00034174006,0.23512812,0.3600141,0.0,0.0,0.0039329906
13.333333,sp_1_2_3_6,6.61828e-05,0.26280922,0.54816574,0.0,0.0,0.000714336
16.0,sp_1_2_3_6,1.1692801e-05,0.2667964,0.644931,0.0,0.0,0.000109979934
18.666666,sp_1_2_3_6,2.0162806e-06,0.26614743,0.679624,0.0,0.0,1.6143435e-05
21.333334,sp_1_2_3_6,3.4620032e-07,0.26531884,0.6906064,0.0,0.0,2.3465927e-06
24.0,sp_1_2_3_6,5.9443472e-08,0.26484808,0.69403595,0.0,0.0,3.4080344e-07
0.0,sp_5,0.0,0.0,0.0,0.0,0.02,0.0
2.6666667,sp_5,0.0,0.0,0.0,0.0,0.07055112,0.0
5.3333335,sp_5,0.0,0.0,0.0,0.0,0.22599787,0.0
8.0,sp_5,0.0,0.0,0.0,0.0,0.5642365,0.0
10.666667,sp_5,0.0,0.0,0.0,0.0,0.95188314,0.0
13.333333,sp_5,0.0,0.0,0.0,0.0,1.1707537,0.0
16.0,sp_5,0.0,0.0,0.0,0.0,1.2488894,0.0
18.666666,sp_5,0.0,0.0,0.0,0.0,1.27199,0.0
21.333334,sp_5,0.0,0.0,0.0,0.0,1.278423,0.0
24.0,sp_5,0.0,0.0,0.0,0.0,1.2801845,0.0
0.0,sp_1_2,0.01,0.01,0.0,0.0,0.0,0.0
2.6666667,sp_1_2,0.009807333,0.03180241,0.0,0.0,0.0,0.0
5.3333335,sp_1_2,0.008909011,0.087661564,0.0,0.0,0.0,0.0
8.0,sp_1_2,0.006993621,0.18022715,0.0,0.0,0.0,0.0
10.666667,sp_1_2,0.0046871896,0.26089698,0.0,0.0,0.0,0.0
13.333333,sp_1_2,0.0028618302,0.30046496,0.0,0.0,0.0,0.0
16.0,sp_1_2,0.0016866946,0.3146867,0.0,0.0,0.0,0.0
18.666666,sp_1_2,0.000983737,0.31931567,0.0,0.0,0.0,0.0
21.333334,sp_1_2,0.000572261,0.3208357,0.0,0.0,0.0,0.0
24.0,sp_1_2,0.00033274974,0.32137027,0.0,0.0,0.0,0.0
0.0,sp_2_5,0.0,0.01,0.0,0.0,0.01,0.0
2.6666667,sp_2_5,0.0,0.030144105,0.0,0.0,0.0356273,0.0
5.3333335,sp_2_5,0.0,0.070424244,0.0,0.0,0.11881637,0.0
8.0,sp_2_5,0.0,0.11015915,0.0,0.0,0.33549392,0.0
10.666667,sp_2_5,0.0,0.12489488,0.0,0.0,0.6930023,0.0
13.333333,sp_2_5,0.0,0.12406415,0.0,0.0,0.9998507,0.0
16.0,sp_2_5,0.0,0.11983199,0.0,0.0,1.1478589,0.0
18.666666,sp_2_5,0.0,0.11611639,0.0,0.0,1.2003887,0.0
21.333334,sp_2_5,0.0,0.11347004,0.0,0.0,1.2173826,0.0
24.0,sp_2_5,0.0,0.11169283,0.0,0.0,1.223011,0.0
